head,time,article
工作人员曝唐嫣罗晋婚前蜜事 五月曾聊到婚礼礼服,2018年11月15日 15:29,       新浪娱乐讯 11月14日，有工作人员在微博晒出唐嫣罗晋的婚礼喜糖，并分享了小两口婚前的一件甜蜜小事：“犹记得归去来发布会（五月）时，唐嫣穿了一件纯白小礼服，在台侧罗晋小声说：你穿这个真好看，婚礼时也这么穿吧。”       据悉，
蒋劲夫在日本失踪爸爸积极斡旋？工作人员：假的,2018年11月15日 21:09,　　新浪娱乐讯 近日，有传言称蒋劲夫在日本失踪，爸爸正为此事积极斡旋，新浪娱乐对此求证蒋劲夫工作人员，对方回应称：假的。　　近日，有网友在网络论坛爆料，称2018年10月中旬，蒋劲夫在日本失踪，并至今仍未找到其下落。该网友还进一步表示，自己曾经被委托翻译一位父亲的斡旋信，并透露该父亲即为蒋劲夫父亲，自蒋劲夫失踪后一直努力斡旋。　　该传闻在网上引起了不少网友关注和议论，新浪娱乐对此独家求证蒋劲夫方工作人员，对方回复：假的！
宝刀尘褪光耀江陵 LG杯时越重新回归决赛舞台,2018年11月15日 10:14,　　时越回来了。　　2018年11月14日，第23届LG杯世界棋王战半决赛在韩国江陵战罢，在一场中国棋手的内战中，同属“一冠群”的两位名将狭路相逢，最终，时越经过激烈的劫争，击败最近状态不俗的范廷钰，昂首杀入决赛。这是时越的第三次世界大赛决赛之旅，而上一次，已经是三年前。　　那是2015年的12月，第二十届三星杯世界围棋公开赛决赛，那一战，坐在时越对面的棋手，是比他小了五岁的柯洁。　　如今，仅仅是我们将这个时间，这个比赛与这个对阵写在笔下，都有着莫名的重量，这是具有时代转折意味的一次交锋，那时候，我们赋予这次比赛的意义，是“中国第一人之争”。彼时，23岁的时越，在2013年拿到了自己的第一座世界冠军奖杯，并且在2014年3月的三国围棋擂台赛上，屠龙击败韩国第一人朴廷桓，为中国第三次捧得农心杯，外战英雄的光环夺目生辉，“中国第一人”的宝座，称不上稳，但若是这位场下儒雅场上暴力的“场均一条龙”称了第二，2013—2015的中国棋坛，还真的没人敢称第一。　　LG杯半决赛时越胜范廷钰　　那时候，我们是真真切切的以为，时越的第二座世界冠军，会在很短的时间里到来，我们是真的认为，一如他同样在棋盘上力大无穷的前辈古力一样，他终将开启属于前自己的时代，中国围棋的未来，也就隐藏在他镜片后面，安静温和的眼眸里。　　但是，所有的一切，在2015年的年末，终究划上了句点。那一年前我们的所有期许，那时候时越身上所有的符号与象征，如今，不过三年，却已然沧海桑田，隔江隔水复隔山。18岁的柯洁在2015年刮起了青春风暴，执白不败，少年无敌，中国第一人的权杖，开始有了交接的架势，而当他们一起坐在三星杯的峰巅，面对面落子争胜的时候，我们都知道，这是要给中国第一人的较量，写一个能够留存于围棋史册的结尾了。　　假若时越赢了，历史会写下怎样的结果？会不会如同当年古力在LG杯上击败陈耀烨一样，从此，真的开启属于自己的王朝？竞技体育没有如果，那些没有发生的事情，就确确实实的只能存在在我们的想象里。但是，也正因为我们曾经怀揣着太大的期待，所以，哪怕这三年来，曾经的中国第一人慢慢沉寂入茫茫人海，甚至在世界大赛的正赛中都难觅影踪，我们依然会在很多时候想起时越的名字，在农心杯输棋的时候，在中国围棋偶尔陷入劣势的时候，在新一代的棋手们快要走到台前的时候。　　张佳玮写麦迪，说，有些人命里有风，注定不能是贩夫走卒。这句话放在时越身上，也何其合适。骨子里就带着从刘小光古力一路传来的属于中国围棋“力战流”的热血，又怎么会甘于久久滞于世界棋战的巅峰之外？三年不鸣，终有一鸣惊人，三年不飞，终可一飞冲天。　　时越大概是当前超一流棋手之中，棋风最执拗的一个，大开大合，大砍大杀，“场均一条龙”的称号是称赞，但叫到现在，某种程度上，也是些许无奈。动辄出手屠龙的结果，往往更容易被对手针对，更容易造成失利。最巅峰的时候，时越的力量完全能够做到，即使对手知道自己要屠龙，但还是只能目送一场华丽的屠龙表演，但状态一旦有所下滑，也就难免一溃千里。2017年全年，时越甚至一次都没能出现在世界大赛的本赛。对于一名正值巅峰年岁的棋手而言，这样的战绩，堪称灾难。但是，倘若时越真的放弃自己的棋道，真的不再在我们面前上演炫目的攻杀，那样的时越，还是我们心中的那把锋锐无比的“屠龙刀”么？　　时越在比赛中　　百炼钢终究化不成绕指柔，但淬了火，砺了刃，三年来蒙了尘的长刀，还是能啸傲云巅。　　面对范廷钰，时越在一开局就出了刀，漫天烽火里，仿佛是对过往这三年岁月里，所有失败的祭奠。劫争，分断，势必要在最短的时间内，将胜利收到怀中，179手，范廷钰投子，阔别世界大赛决赛已经三年的时越，终于回到了世界大赛决赛的舞台。这是在我们心目中，他应该来过很多次的位置，也应该是他自己心目中，自己必须来过很多次的位置。　　在通往决赛的道路上，时越击败了崔哲瀚、李元荣、江维杰和范廷钰，斩落三位世界冠军，含金量未可谓不足，而在决赛中，他的对手，将是比自己小了七岁的杨鼎新。对于已经27岁的时九段而言，这是又一次，有点像三年前那场决赛的较量。　　但无论如何，宝刀尘已褪，寒光耀江陵，我们熟悉的时越，终于回来了。　　（谢天舒）
未来可期！上港U19数人将进一队 4支梯队有国字号,2018年11月15日 10:13,　　文章来源：足球报　　记者陈伟报道  上港夺冠，本土球员的出色发挥，是要因之一，而且，他们很多都是根宝基地走出来的，现在，上港的梯队水平也非常不错。　　　　2014年年底，上港整体收购东亚，其中包含一线队、预备队和97/98年龄段梯队，是时，武磊、吕文君、颜骏凌和蔡慧康等老一批根宝的球员，就已是球队主力，他们也是当初东亚冲甲和冲超的绝对功臣。　　本赛季中超冲刺期，他们成了球队夺冠的保障，崇明一期里，武磊自不必多说，联赛29次出场打进了27球，获得了最佳射手；吕文君虽然只有7次（实际出场27次）首发，但作为替补奇兵，他上场就能制造威胁，打进了7球，还有3个助攻，主教练佩雷拉不止一次公开表扬他；颜骏凌现在和曾诚一起竞争国家队一门，这个赛季他出场29次，只有联赛最后一轮在已夺冠的前提下没有进入18人大名单；佩雷拉来到上港前，王燊超一直是球队的队长，作为后防线万金油，他的存在可以让球队因为伤病带来的影响降至最低，赛季25次首发，1次替补，打进2球；蔡慧康虽然这个赛季无缘国家队，但他在中场的作用愈发明显，赛季出场25次，客场对阵恒大的比赛，他甚至还取得了一粒进球。　　而根宝的93一代，在俱乐部也站稳了脚跟。贺惯现在是球队的主力中卫，27次首发1次替补；傅欢（11次首发1次替补）也在联赛最后几轮发挥了很大的作用；张卫（7次首发4次替补）在于海受伤后，对阵鲁能、苏宁和恒大的比赛，表现得非常好。　　和恒大大肆购买内援不同，上港的根基在于崇明岛，这次夺冠，也是对徐根宝的一种回报。这些球员，仍是当打之年，未来仍会是主力军，这也是上港集团党委书记陈戌源表示球队在下赛季不会有很大人员变动的缘由所在。值得一提的是，上港联赛出场排名前10的队员（不包括外援），平均年龄不到27岁，而恒大的平均年龄超过了31岁。　　　　除了现有的一线球员，上港目前的青训水平，在国内也算翘楚。在刚刚结束的U19青超联赛，上港U19获得了冠军，这其中，很多人都已在预备队打比赛，尽管和一线队比赛还是有差距的，但能打预备队的比赛，对他们的成长，也是有很大帮助的。　　作为一线队主教练，预备队主场的比赛，佩雷拉都会去看。第一，他想看一下一线队没打上比赛球员的状态；第二，他想在预备队找到好球员。　　“佩雷拉和我沟通过几次，他说我们这支球队这几位球员踢球技术很不错，而且很有头脑，他们下赛季进入一线队问题不是很大。”上港预备队主教练陈旭峰说。　　目前，上港现在从U13到U19都有自己的梯队，尤其是U16、U17、U18、U19，在全国来说水平还是很高的，每支都有几位国字号球员。U19梯队中，年初打比赛的时候就定下了冠军的目标，夺冠后，最后一个客场对阵权健U19时，对手列队给上港球员鼓掌，“我觉得我们的冠军得到了其他球队的认可，这也说明我们这一年的成功，当然，通过这些比赛，我的队员在阅读比赛的能力上有明显的提升。当然，如果希望我们的U19一下子顶上去，打上一线队的比赛，这是不现实的，但我们把U17、U15和U19这些球队弄在一起，然后经过几年的历练，我觉得可以用的人还是很多的。”陈旭峰说。　　除了自己的梯队，上港还和全国各地几十个足球培训机构有合作，为他们的教练员定期做培训，把当今世界的先进足球理念传递给他们。　　此外，上港各年龄段梯队每年都有两次出国拉练的机会，一次欧洲，一次亚洲，尽可能的让他们获得多打比赛的机会，上港U19能够获得冠军，和去年前往巴西拉练不无关系。　　“我们的青训势头其实发展得非常不错，其他队对我们现在也有认同感，青训其实就是滚雪球，我们要坚持下去，就会有很好的收获，我们俱乐部一直强调希望自己有造血功能，我也强调青训主要就是为一线队培养人才。”陈旭峰说。而成耀东表示，上港的目标不仅要在国内做得好，在亚洲也要做到顶尖水平，“我们要培养出亚洲的优秀球员。”
权威数据网站评中超最佳阵：上港5人 暴力鸟落选,2018年11月15日 11:20,　　北京时间11月15日消息，2018赛季中超联赛已经结束。足球数据评分网站“WhoScored”公布了2018赛季中超联赛最佳阵容的评选结果。2018赛季中超联赛冠军上海上港成为这套中超联赛最佳阵容的最大户。在“WhoScored”评选的2018赛季中超联赛最佳阵容中，包括5名上海上港球员、2名广州恒大球员、2名山东鲁能球员、1名北京国安球员以及1名江苏苏宁球员。广州恒大外援塔利斯卡是这套2018赛季中超联赛最佳阵容中评分最高的球员。塔利斯卡的评分是8.25分。广州恒大外援保利尼奥落选。　　每轮2018赛季中超联赛结束后，“WhoScored”都会公布一套中超联赛最佳阵容。如今，2018赛季中超联赛的30轮比赛全部结束，“WhoScored”公布了2018赛季（年度）中超联赛最佳阵容的评选结果。入选“WhoScored”评选的2018赛季中超联赛最佳阵容的球员全部来自2018赛季中超联赛积分榜前5名的球队。　　上港入选球员分别是颜骏凌、于海、奥斯卡、胡尔克和武磊，恒大入选球员分别是塔利斯卡、张琳芃，鲁能入选球员分别是佩莱、吉尔，国安入选球员是雷纳托-奥古斯托，苏宁入选球员是吉翔。恒大外援保利尼奥成为2018赛季中超联赛官方评选的MVP的候选人，但没有入选“WhoScored”评选的最佳阵容。　　附：“WhoScored”评2018赛季中超联赛最佳阵容　　门将：颜骏凌（上海上港，6.90分）　　后卫：吉翔（江苏苏宁，7.22分），张琳芃（广州恒大，7.10分），吉尔（山东鲁能，6.99分），于海（上海上港，7.12分）　　中场：奥斯卡（上海上港，8.16分），雷纳托-奥古斯托（北京国安，8.18分），塔利斯卡（广州恒大，8.25分）　　前锋：胡尔克（上海上港，8.10分），佩莱（山东鲁能，7.70分），武磊（上海上港，7.62分）　　（李哲）
上港6年投1.75亿欧造2大标王 外援薪资总额居榜首,2018年11月15日 10:00,　　文章来源：足球报　　记者寒冰报道  自2013年（前两个赛季为东亚）征战中超以来，上港历经6年，在球市上总计投入几乎1.75亿欧，才拿到1座中超冠军奖杯，代价不可谓不巨大。　　2014年10月，上港集团全资收购东亚俱乐部，同年11月更名上海上港，按照上港的年报，收购金额在2.5亿人民币，次年，上港大肆投资，招兵买马。赛季初回购孔卡一举成名，夏季又以1200万欧的价格购入了加纳前锋吉安，成为当年中超身价第3的顶级外援。而吉安高达1300万美金的年薪，是为当时中超薪王。　　上港的投资巅峰期是2016和2017年，连续两个赛季的投入都在7000万欧的高位，不仅超越了恒大，同期也只有华夏的投资额超过上港。连续2年，上港贡献了2个标王——2016年的浩克（5580万）和2017年的奥斯卡（6000万），至今仍未被打破。同时，中超本土外援的转会纪录（埃尔克森，1850万），也是上港保持的。　　今年，上港在两个转会窗都没有更换外援，账面投资金额为零，但并不意味着俱乐部的实力因而受到影响。实际上，今年上港的外援薪资总额仍然高居中超榜首，奥斯卡和浩克均进入三甲，4名外援税后年薪总额就高达4500万欧，而恒大夏季连续吃进保利尼奥和塔利斯卡后，才达到这个数字。　　因为2018年停止了在球市上的疯狂，上港原本去年还领先的投资总额被对手追上。这6年，中超有5支球队总投资额达到了1.7亿欧的“第一集团”门槛，华夏只用了4年就达到1.98亿欧，高居榜首，恒大1.8亿紧随其后，上港和苏宁都接近1.75亿，权健则是1.71亿。而此前被认为是冠军竞争者之一的传统三大豪门，国安（1.28亿）、申花（1.15亿）和鲁能（0.86亿）已被远远抛离。　　如果计算在薪资方面的投入，这6年上港的支出更为可观。前后16名外援的税后年薪总额高达1.5亿欧，意味着6年来上港在球市的外援投入上，加上应缴税款总额可达4.5亿欧。去夏开始，上港停止了在球市的大宗投入，得以成功规避外援调节费的额外开支。
一方赛季中曾想解雇舒斯特尔 末轮布阵已露端倪,2018年11月15日 11:20,　　来源：大连晚报　　　　万达回归已经启动倒计时程序，大连足球的目标也已经锁定，重塑昔日辉煌是所有大连足球人共同的梦想，在未来这条光辉但充满艰辛的路上，目前的球队主教练舒斯特尔会成为其中的参与者和重要角色吗？未必。 据了解，大连一方俱乐部和舒斯特尔签订的工作合同，是1+1和1+2的合同。按照合同规定，如果舒斯特尔最终带队保级成功，就可以启动1+1合同，也就是可以续约1年。如果舒斯特尔带队获得积分榜的前12名，可以再获得2年的工作合同。但在合同中，还有一条限制性条款，而且这个条款是一条红线，那就是：如果在舒斯特尔执教期间，球队遭遇到4连败，俱乐部可以无条件解雇舒斯特尔。　　大连一方在本赛季最终的积分榜排名是第11名，舒斯特尔达到了1+2的条件。但是，在最后一场主场对阵长春亚泰之前，大连一方已经四连败。　　在最后那场比赛中，场上人员确实做了一些不同于往日的特殊调整，老将周挺来到了左边后卫位置上，秦升则来到中卫位置上，单鹏飞担任右边后卫，朱晓刚和金强搭档双后腰。熟悉舒斯特尔性格和他对球队中球员认知的人一下子就能解读出，这个阵容的安排，要么就是舒斯特尔在排兵布阵中听进了中方教练组的意见，要么就是他在排兵布阵的权限上做出了某种程度的让步。　　舒斯特尔是否留任，大连一方俱乐部占据着绝对的主动权。据《体坛周报》
CUVA北方女子组分组揭晓 北体女排孙文静缺席,2018年11月15日 22:31,　　11月15日消息，2018-2019赛季CUVA中国大学生排球联赛北方赛区女子组比赛将于16日-24日在吉林长春进行，20支队伍相聚东北师范大学为24强赛的12个参赛席位展开激烈角逐。卫冕冠军北京体育大学女排灵魂二传孙文静缺席，实力大损，山东师范与北航女排等队伍将再次向冠军宝座发起冲击。　　本次比赛共有20支球队报名参加，分到A、B、C、D四个小组，每个小组5支队伍。其中19支球队曾参与2017-2018赛季北方赛区比赛。根据上赛季名次，按照蛇形编排分组。而新赛季加入的北京师范大学女排自然落位到D5。　　第一阶段小组赛，每个小组前四名晋级16强，进入交叉淘汰赛。剩余四支球队进行单循环比赛，决出第17-20名。　　A组方面，总决赛三连冠霸主、北方赛区卫冕冠军北京体育大学女排领衔，缺少明星二传孙文静的她们能否抵挡住各路强手冲击是本次比赛一大看点。另外长春师范大学、包头医学院、河南师范大学和南开大学也在这一小组。上赛季B组总决赛冠军包头医学院女排新赛季阵容变化较大，新生力量能给队伍带来怎样的变化，让我们拭目以待！　　B组中山东师范大学整体实力更胜一筹，小组第一出线问题不大。中央民族大学、天津理工大学和吉林大学实力接近，或将为小组排位展开激烈争夺。延边大学相较前面几支球队略有差距，但并非没有出线可能。倘若能凭借出色发挥拿下一场比赛，那么将很有可能从该组突围。　　C组这边，奥运冠军杨昊执教的北京航空航天大学女排整体实力突出，小组头名出线几无悬念。中国海洋大学实力不俗，上赛季还参与A组总决赛争夺。内蒙古科技大学、内蒙古工业大学和宁夏大学三支球队将为另外两个出线席位展开激烈争夺。　　D组中，兰州大学、中央财经大学两队实力相当，或为小组头名激烈厮杀。而北京师范大学是本次比赛一支新军，整体情况尚不可知，她们将与哈尔滨工程大学和北京交通大学为另外两个出线席位展开最后角逐。　　附：第一阶段赛程　　
U23赛季最佳阵:权健一方合占半壁 黄紫昌一鸣惊人,2018年11月15日 09:10,　　2018赛季中超联赛中，“U23政策”在落实程度与被适应性上均得到了提升，打出亮色的球员群体性出现，其佼佼者黄紫昌的赛季表现可用一鸣惊人来总结，刘奕鸣继续体现着后防线骨干的作用，刘军帅也体现出了成为中坚力量的绝对潜质，陈彬彬则是U23年龄段助攻王。天津权健继续积极应对“U23政策”，大连一方更形成了由年轻球员挑梁主打的喜人面貌。以下是新浪体育评选的2018赛季中超联赛U23球员最佳阵容（4-3-3-）——　　前锋：陈彬彬（上海上港）、黄紫昌（江苏苏宁易购）、苏缘杰（天津权健）　　陈彬彬本赛季共出战19场中超，其中14场担任首发， 显然是上港最为重要的U23球员。他的速度与拿球能力在同年龄段球员中非常突出，对上港起到了推动效果，本赛季他共送出4次助攻，是U23年龄段助攻王。稍显遗憾的是陈彬彬还没有打开中超入球账户，刚刚20岁的他在上港还有着很大的提升空间。　　前10场中超赛事就收获5粒入球，21岁的黄紫昌在本赛季堪称一飞冲天。虽因国字号频繁征调与伤病影响并未能在本赛季中后段持续主打，但黄紫昌在他19场出战比赛中（13场首发）较为充分地体现出了自身特点，他是毫无疑问的本赛季最佳U23球员。　　上赛季权健U23球员积极表现的局面中，苏缘杰的踏实与稳定性就给人留下了一定印象，本赛季苏缘杰在权健U23轮转体系中获得了17场出战机会，其中8场首发，他打入2球送出1次助攻，相应数据的直观产出率在U23球员中非常突出。　　中场：何超（长春亚泰）、张修维（天津权健）、汪晋贤（大连一方）　　能在中超稳定打上比赛的U23为数不多，其中能在中场位置上担任主打的就更是罕见，而何超正是这样的存在感，他是亚泰的中场骨干，本赛季出战22场（均担任首发），场均1.9次抢断与1.4次拦截的表现在全中超也可排名上游，52次犯规排名中超第10以及全赛季8张黄牌等能进一步体现他承担的责任。虽然亚泰降级，何超仍是不可否认的U23亮点。　　“酒驾”、“虚假年龄”等是张修维一时难以抛开的背景情况，他必须长久地充分地吸取教训。结束长期禁赛期后，张修维在本赛季出战16场，其中有12场首发，尽管比赛次数并不是很多，张修维仍充分体现了自身特点与比赛实用性，场均1.6次拦截1.1次抢断，并送出了2次助攻（上赛季出战17场也是2次助攻），他是U23年龄段球场表现力最为突出的球员之一。　　2014赛季时年仅18岁的汪晋贤就已在中超亮相，本赛季他在升班马一方阵中得到了更为充分的施展空间，他共出场20场，其中18场首发，打入2球并送出2次助攻，在同高水准外援持续配合从而学习进步的过程中，汪晋贤占据了球队主力中场的位置，这在U23球员中非常难得。　　后卫：李帅（大连一方）、刘军帅（山东鲁能泰山）、刘奕鸣（天津权健）、邓涵文（广州恒大淘宝）　　经历赛季初期表现困顿的走势后，一方换帅后通过阵容调整形成了明显反弹，李帅成为主力左后卫就是其中重要一环。本赛季李帅共出战18场，其中16场首发，防守中他场均1.9次解围1.8次抢断，进攻中场均1.1次突破与2.7次传中更能体现自身特点，他收获1粒入球并送出1次助攻，已成为中超最有特点的边后卫新锐。　　刘军帅在上赛季就已开始代表鲁能出战（共出战12场），本赛季在本土主帅李霄鹏提携下他的比赛机会明显提升，共出战25场，其中16场首发，他的表现随之大幅提升，在后腰与中后卫位置上均有较稳定发挥，场均1.9次解围1次抢断，打入2球并送出1次助攻。通过本赛季的实战锻炼，刘军帅不仅成为了U23球员的佼佼者，也体现出了成为鲁能后场骨干的潜质。　　刘奕鸣上赛季就出战了28场中超（均为首发），成为U23年龄段代表性球员并入选国家队，本赛季刘奕鸣出战23场（均为首发），他260次解围排名中超第9位，场均1.5次抢断，他的实战表现、稳定性与对球队重要性等方面已超出U23层次，在中超后卫群体中已具备相当竞争力。　　何超与刘奕鸣之外，邓涵文是另一位U23年龄背景较为模糊的球员，他代表恒大出战更多是同实战作用与球队需求相关。本赛季邓涵文出战21场中超，其中首发17场，他场均能送出近1次威胁传球，防守方面场均2.2次解围与1.6次抢断的表现也很有竞争力，本赛季他打入1球并送出2次助攻。　门将：郭全博（北京中赫国安）　　郭全博在本赛季第11轮国安客场2-0战胜亚泰的比赛中上演中超首秀，该场发挥令人眼前一亮，此后郭全博就以稳健表现锁定了国安主力门将的位置，在本赛季出战的18场比赛中郭全博共做出48次扑救，在国安这实力上游的球队中，他场均扑救次数已接近中超门将中上游行列。更重要的是，郭全博的出现直接减轻了国安应对“U23政策”的难度，为球队确保整体战斗力做出了突出贡献，他也为U23年龄段的亮点球员填补了门将位置的空缺，他很有机会成为未来中超的支柱型门将。　　　赛季初期“U23政策”引发热议甚至就是颇多异议时，黄紫昌以绝对闪亮的表现横空出世，他成为了“U23政策”良苦用心与积极性的生动证明。而在实战表现上，21岁的黄紫昌不仅是U23年龄段的绝对亮点，也成为中超全体本土球员的亮点，他的比赛活力、积极性、处理球合理性以及牵制对手防守的效果等都很醒目。本赛季后三分之二赛程中黄紫昌受到了国字号抽调与伤病的影响，未能充分延续亮色，那不妨就将本赛季5粒进球1次助攻的数据理解为他的“起点”，未来的黄紫昌很值得期待，也理应做到更好。　　天津权健在上赛季就是全中超使用U23球员力度与效果最为突出的一支，本赛季权健形成了良性延续，这一点通过入选U23最佳阵容的权健球员数量就可直观感受。一方同样是对U23球员委以重任的球队，其U23球员支撑球队主力框架的实效更超权健，汪晋贤、李帅与王耀鹏等人均在一方摆脱赛季初期困顿、持续反弹上扬的走势中以主力身份做出了贡献，甚至说一方赛季后段保级压力放大都同这几位球员被国字号抽调有直接关系。　　22岁的董岩峰本赛季出战12场，还不满24周岁的崔明安（打入3球，送出1次助攻）、同为25岁的金强和单鹏飞（均获得20场左右的出场机会）等人也均在体现一方对年轻球员的使用与倚重力度。成功保级是一方立足中超的第一步，接下来的目标是在重现豪强竞争力的同时重现大连足球城对年轻球员的培养成果。　　（木之火）
男排联赛湖北3:2胜河北 闫峰:改掉慢热赢在毫厘,2018年11月15日 18:33,　　11月14日19：30，2018-2019中国男子排球超级联赛第二阶段第二轮第12场比赛，湖北男排在主场孝感市体育中心体育馆，与前来挑战的老对手河北男排的展开对决。最终，湖北男排以3比2险胜河北男排，五局比分分别为20：25、17：25、25：13、25：17、15：8。　　此役，湖北男排首发阵容为二传吴雪阳，主攻涂俊峰和林海坤，副攻陈祚和周行，接应宋阳和自由人李子涵。河北男排则派出了二传侯垠龙，主攻李靖渊和李董马亚，副攻马帅和钟磊，接应姚宝龙和自由人付冀丰。　　比赛一开始，湖北队利用对方触网先取1分，河北队则由12号李董马亚快攻赶回1分。随后双方互有攻守，场上比分交替上升，一直到6：6。此后湖北队多次强攻得分，一度把领先优势扩大到4分。但关键时刻湖北队队员心态发生了变化，配合失误较多，而河北队加强了发球和拦网，越战越勇，12号李董马亚连续强攻得分，把比分追至14：14。此后双方比分十分胶着，随着河北队挑战鹰眼成功，场上比分为19：19。但随着湖北队多次进攻被拦，场上比分定格在20：25，湖北队先失一城。　　双方易边再战，河北队继续加强了发球和拦网，造成湖北队的一攻成功率不高，前排进攻受阻。场上比分进行到7：10时，湖北队请求第一次暂停。但随后河北队10号姚宝龙的强攻和3号队员李靖渊的后排进攻连续得分，把场上比分改写为8：12。湖北队不得不通过换人调整战术，先后换上了7号和2号，但仍难扭转颓势。场上比分一直落后，以17：25再丢一局。　　第三局湖北队随即调整战术，加强发球和拦网，初见成效，很快就以5：2领先。老将8号宋阳发挥神勇，多次强攻得分。小将14号林海坤渐渐找到了自信，进攻屡屡得手。场上比分为11：8时，河北队请求了第一次暂停。但湖北队越战越勇，全队配合默契，防守顽强，接连得分。此后河北队多次做出换人调整，但进攻受阻，失误增多。湖北队以25：13扳回一局。　　进入第四局，在主场球迷的加油呐喊声中，湖北队终于找回了状态。开局老将宋阳的两记重扣和14号林海坤的强攻，以3：0领先。随着河北队挑战鹰眼失败，场上比分变为5：2。虽然河北队5号钟磊多次快攻得分，但湖北队林海坤的进攻再将比分拉开。此后，河北队的换人也没能改变场上局势。本局湖北队全面开花，林海坤的重扣，宋阳的强攻和周行的快攻屡屡得分。反观河北队，虽然5号钟磊的快攻多次得分，但强攻难以撕破湖北队的防线。湖北队以25：17再赢一局，将比赛拖入了决胜局。　　第五局，主场球迷激情飞扬，大声呐喊为主队加油，现场气氛十分热烈。湖北队气势如虹，宋阳和涂俊峰的进攻屡屡得分，率先以8：1交换场地。换边后，河北队利用10号姚宝龙的发球和5号钟磊的进攻一度把比分追至10：5。但湖北队在现场球迷的加油和呐喊声中越战越勇，没有给对方任何机会，以15：8赢下了决胜局。最终湖北男排以3：2险胜河北男排。　　湖北男排8号队员宋阳获得本场MVP球员。　　湖北男排下一轮比赛将于11月18日16：00迎战广东深圳宝安贺杰男子排球队。　　（文：湖北新闻官王勇 摄：汪洋）　　　　11月14日19：30，2018-2019中国男子排球超级联赛第二阶段第二轮第12场比赛，湖北男排在主场孝感市体育中心体育馆迎战河北男排，经过5局对决，湖北男排以3：2战胜对手，迎来主场首胜。赛后，双方教练和队长对本场比赛进行了点评。　　河北男排队长李董马亚：今天这场比赛前两局打得比较好，从第三局开始湖北队给了我们一些压力，心态起了一些变化，没有及时调整过来，这是我们接下来需要解决的主要问题，希望能把后面的比赛打好。　　湖北男排队长董军：感谢孝感球迷对我们的支持。我们和河北队也是老对手了，每一次的比赛都打得比较纠结，今天开局打得不好，问题在自身上，一些细节的处理不够仔细，导致情绪比较压抑一点。从第三局调整以后，我们的进攻就比较顺畅了，我们的心态也都放松了，越打越好。希望好的状态一直保持下去，能在以后的比赛中打得更好。　　河北男排主教练王彬：首先祝贺湖北队取得胜利，这场球应该说两个队都做足了准备，我们开局抓得比较好，后三局连输三局，主要是输在自身的心态上。第三局上来没有抓紧，队员从心理上出现了一些波动，应该是自己输给了自己。　　湖北男排主教练闫锋：感谢河北和湖北队为孝感球迷奉献了一场精彩的比赛，今天的比赛很胶着。河北、湖北长期在一起打，胜负就在毫厘之间，谁赢谁输很正常。我们在后三局在心态上面、技术发挥上面可能抓得更好一点，整场比赛下来，取得最后的胜利。希望我们的队员在今后的比赛当中改掉这种慢热的毛病，进入比赛状态快一点，打得更流畅一点。　　（文：湖北新闻官王勇 图：汪洋）
